S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
1,Central Area,Category 1,100 & Below,107.08,Q1 2012
2,Central Area,Category 1,>100 - 200,96.88,Q1 2012
3,Central Area,Category 1,>1000,110.33,Q1 2012
4,Central Area,Category 1,>200 - 500,97.6,Q1 2012
5,Central Area,Category 1,>500 - 1000,97.95,Q1 2012
6,Central Area,Category 2,100 & Below,57.95,Q1 2012
7,Central Area,Category 2,>100 - 200,59.46,Q1 2012
8,Central Area,Category 2,>1000,37.36,Q1 2012
9,Central Area,Category 2,>200 - 500,61.67,Q1 2012
10,Central Area,Category 2,>500 - 1000,51.45,Q1 2012
11,Central Area,Category 1,100 & Below,97.17,Q2 2012
12,Central Area,Category 1,>100 - 200,96.87,Q2 2012
13,Central Area,Category 1,>1000,97.41,Q2 2012
14,Central Area,Category 1,>200 - 500,96.88,Q2 2012
15,Central Area,Category 1,>500 - 1000,97.09,Q2 2012
16,Central Area,Category 2,100 & Below,58.13,Q2 2012
17,Central Area,Category 2,>100 - 200,64.71,Q2 2012
18,Central Area,Category 2,>1000,68.12,Q2 2012
19,Central Area,Category 2,>200 - 500,64.75,Q2 2012
20,Central Area,Category 2,>500 - 1000,71.41,Q2 2012
21,Central Area,Category 1,100 & Below,98.28,Q3 2012
22,Central Area,Category 1,>100 - 200,103.33,Q3 2012
23,Central Area,Category 1,>1000,93.6,Q3 2012
24,Central Area,Category 1,>200 - 500,96.87,Q3 2012
25,Central Area,Category 1,>500 - 1000,96.79,Q3 2012
26,Central Area,Category 2,100 & Below,62.39,Q3 2012
27,Central Area,Category 2,>100 - 200,64.59,Q3 2012
28,Central Area,Category 2,>1000,75.99,Q3 2012
29,Central Area,Category 2,>200 - 500,61.36,Q3 2012
30,Central Area,Category 2,>500 - 1000,64.74,Q3 2012
31,Central Area,Category 1,100 & Below,99.59,Q4 2012
32,Central Area,Category 1,>100 - 200,97.95,Q4 2012
33,Central Area,Category 1,>1000,90.96,Q4 2012
34,Central Area,Category 1,>200 - 500,96.15,Q4 2012
35,Central Area,Category 1,>500 - 1000,93.63,Q4 2012
36,Central Area,Category 2,100 & Below,62.42,Q4 2012
37,Central Area,Category 2,>100 - 200,61.97,Q4 2012
38,Central Area,Category 2,>1000,51.34,Q4 2012
39,Central Area,Category 2,>200 - 500,64.6,Q4 2012
40,Central Area,Category 2,>500 - 1000,68.84,Q4 2012
41,Central Area,Category 1,100 & Below,106.61,Q1 2013
42,Central Area,Category 1,>100 - 200,96.35,Q1 2013
43,Central Area,Category 1,>1000,86.42,Q1 2013
44,Central Area,Category 1,>200 - 500,98.22,Q1 2013
45,Central Area,Category 1,>500 - 1000,91.94,Q1 2013
46,Central Area,Category 2,100 & Below,60.47,Q1 2013
47,Central Area,Category 2,>100 - 200,64.61,Q1 2013
48,Central Area,Category 2,>1000,68.37,Q1 2013
49,Central Area,Category 2,>200 - 500,69.49,Q1 2013
50,Central Area,Category 2,>500 - 1000,67.97,Q1 2013
51,Central Area,Category 1,100 & Below,99,Q2 2013
52,Central Area,Category 1,>100 - 200,100.11,Q2 2013
53,Central Area,Category 1,>1000,89.06,Q2 2013
54,Central Area,Category 1,>200 - 500,93.64,Q2 2013
55,Central Area,Category 1,>500 - 1000,91.5,Q2 2013
56,Central Area,Category 2,100 & Below,65.44,Q2 2013
57,Central Area,Category 2,>100 - 200,62.45,Q2 2013
58,Central Area,Category 2,>1000,67.83,Q2 2013
59,Central Area,Category 2,>200 - 500,67.37,Q2 2013
60,Central Area,Category 2,>500 - 1000,69.97,Q2 2013
61,Central Area,Category 1,100 & Below,100.63,Q3 2013
62,Central Area,Category 1,>100 - 200,96.88,Q3 2013
63,Central Area,Category 1,>1000,96.25,Q3 2013
64,Central Area,Category 1,>200 - 500,94.74,Q3 2013
